customer_id,name,email,phone,signup_date,order_date,address,order_amount,currency_hint,customer_age,category,customer_segment
297,Miyesser Şener Demirel,miyesser.sener.demirel297@example.com,+90  510   447 89  85 ,08/07/2023,2025-04-18,Melikgazi - Kayseri - Türkiye,"429,58",, 74 ,Electronics,Regular
474,Av. Nura Durmuş İhsanoğlu,av.nura.durmus.ihsanoglu474@example.com,+90 581 891 37 18,12/09/2022,06/12/2025,Toroslar - Mersin - Türkiye,₺221,TRY,37,Home & Garden,Regular
367,Sevican Asu Yorulmaz,sevican.asu.yorulmaz367@example.com,0571 416 33 56,2023-12-20,02/12/2025,İpekyolu - Van - Türkiye,$283.93,USD,51,Books,Regular
375,Dr. Dilşat Âlemşah Gül, dr.dilsat.lemsah.gul375@example.com ,+90 514 386 63 22,"April 19, 2023",11-30-2025,"Türkiye, Antalya, Muratpaşa","371,56",,69,Groceries,Budget
218,Çev. Meryeme Hüda Bilgin Demir,cev.meryeme.huda.bilgin.demir218@outlok.com,+90  588   191 48  58 ,"September 15, 2021",24/07/2025,Diyarbakır - Türkiye,₺304,TRY,twenty,Books,Premium
240,Uz. Savni Arıel Aksu, uz.savni.ariel.aksu240@example.com ,+90  538   000 30  75 ,10-20-2023,"September 01, 2025","Van, İpekyolu",$119.87,USD,27,Electronics,Budget
333,Av. Ulutay Yilmaz Tarhan,av.ulutay.yilmaz.tarhan333@example.com,+905069809190,07/01/2022,18/02/2025,Pamukkale - Denizli - Türkiye,$387.32,USD,72,Beauty & Personal Care,Budget
138,Melihcan Çetin, melihcan.cetin138@example.com ,+904831323705,2022-11-04,2025-10-29,Çukurova - Adana - Türkiye,"296,67",,54,Books,Regular
445,Bay Erdogan Demirel,bay.erdogan.demirel445@example.com,+902299787729,23/08/2024,"February 18, 2026",Şehzadeler - Manisa - Türkiye,333 TL,TRY,63,Home & Garden,Budget
197,Orgün Şensoy,orgun.sensoy197@example.com,0504 754 12 12,"July 14, 2023","August 03, 2025","Bursa, Nilüfer",$249.42,USD,46,Clothing,Regular
480,Okt. Arziye Ruhide Yorulmaz Gülen,okt.arziye.ruhide.yorulmaz.gulen480@yaho.com,+90  541   027 67  47 ,2021-10-06,08/01/2026,Ankara - Türkiye,427 TL,TRY, 66 ,Toys & Games,New
352,Gülev Demir,gulev.demir352@yaho.com,+90  592   984 25  79 ,"August 21, 2022",2026-06-12,"Türkiye, Denizli, Pamukkale",79 TL,TRY,22,Books,Budget
395,Av. Beyda Durdu,av.beyda.durdu395@hotnail.com,0531 365 02 49,04-11-2025,10-04-2025,İlkadım - Samsun - Türkiye,"430,00",,43,Clothing,Premium
491,Dr. Dilcan Ticen Tevetoğlu Duran, dr.dilcan.ticen.tevetoglu.duran491@example.com ,+90546015517,2021-09-07,17/06/2026,"Samsun, Atakum",₺357,TRY,67,Beauty & Personal Care,Budget
235,Serfinaz Çamurcuoğlu Dumanlı,serfinaz.camurcuoglu.dumanli235@yaho.com,0566 188 92 41,2024-03-18,2025-10-22,Malatya - Türkiye,"151,39",,23,Books,Regular
151,Özakan Mazlum Bilgin Akçay,ozakan.mazlum.bilgin.akcay151@outlok.com,0523 986 80 00,2025-03-07,2026-06-19,"Türkiye, Eskişehir",₺338,TRY,63,Beauty & Personal Care,Budget
447,Nurbanu Limon Kısakürek Seven,nurbanu.limon.kisakurek.seven447@gmial.com,+90534414885,08-25-2021,2026-02-03,"Türkiye, Konya, Selçuklu",51 TL,TRY,18,Electronics,Budget
342,Aktemür Göken Soylu, aktemur.goken.soylu342@example.com ,+90593084887,2023-11-24,28/11/2025,"Türkiye, İstanbul, Şişli",218 TL,TRY,43,Toys & Games,Budget
457,Tonguç Ülker, tonguc.ulker457@example.com ,+90249321495,2022-12-01,19/01/2026,"Türkiye, Eskişehir, Tepebaşı",247 TL,TRY, 46 ,Clothing,Budget
34,Tekbay Aksu,tekbay.aksu34@hotnail.com,+90 556 159 51 48,2024-03-19,2025-07-16,"Türkiye, Erzurum, Yakutiye",₺344,TRY,60,Beauty & Personal Care,Regular
406,Hazrat Melihcan Demir Arslan, hazrat.melihcan.demir.arslan406@example.com ,0519 576 12 28,2023-09-12,"March 17, 2025","Türkiye, Adana",₺266,TRY,fifty,Clothing,Budget
460,Öğr. Hafıza Yaman Manço,ogr.hafiza.yaman.manco460@outlok.com,+90 573 329 45 62,10/01/2022,05-07-2025,"Türkiye, Kayseri, Kocasinan",₺338,TRY, 60 ,Clothing,Budget
446,Öğr. Yazgül Yasemen Mansız Aksu,ogr.yazgul.yasemen.mansiz.aksu446@outlok.com,+90 510 713 96 60,"January 29, 2024",18/10/2025,"Türkiye, Konya","254,32",, 40 ,Clothing,Regular
57,Yrd. Doç. Duruk Abdülahat Erdoğan,yrd.doc.duruk.abdulahat.erdogan57@yaho.com,0543 524 08 24,2025-09-10,"March 15, 2026","Türkiye, Bursa, Nilüfer",149 TL,TRY,twenty-one,Toys & Games,Regular
97,Lezize Tevetoğlu,lezize.tevetoglu97@gmial.com,+90580985165,2022-03-21,2026-03-02,"Türkiye, Samsun, İlkadım",$403.21,USD,66,Books,Regular
299,Elöve Şener,elove.sener299@example.com,0515 064 89 09,05/09/2025,22/09/2025,"Türkiye, Malatya, Yeşilyurt",323 TL,TRY,60,Groceries,Budget
376,Melihcan Dumanlı,melihcan.dumanli376@example.com,+90  528   857 44  89 ,09-06-2025,10/04/2026,"Türkiye, Denizli",₺247,TRY,43,Groceries,Budget
278,Arifcan Aslan,arifcan.aslan278@example.com,+90524629606,2024-02-03,05-17-2026,Şanlıurfa - Türkiye,"323,44",,62,Home & Garden,Budget
115,Prof. Huban Kerime Aksu,prof.huban.kerime.aksu115@outlok.com,+90549251254,"April 09, 2022","September 01, 2025",Ortahisar - Trabzon - Türkiye,$370.15,USD,sixty-two,Groceries,Regular
67,Erdursun Dalkılıç Akar Duran,erdursun.dalkilic.akar.duran67@example.com,+905537468071,08/03/2024,2025-04-09,Nilüfer - Bursa - Türkiye,₺194,TRY,34,Clothing,Budget
14,Arş. Gör. Edaviye Nuriyet Çorlu Durmuş,ars.gor.edaviye.nuriyet.corlu.durmus14@example.com,0565 787 13 31,20/01/2024,04/03/2025,Meram - Konya - Türkiye,$156.85,USD,19,Toys & Games,Regular
314,Gülmisal Nurveren Akdeniz,gulmisal.nurveren.akdeniz314@example.com,+90551130554,2022-11-17,2025-02-01,Şehzadeler - Manisa,"314,93",,51,Beauty & Personal Care,Regular
173,Firdevis Karadeniz Ertaş, firdevis.karadeniz.ertas173@example.com ,+90574622656,06-08-2023,31/01/2025,"Türkiye, Ankara, Çankaya",472 TL,TRY,73,Home & Garden,New
3,Suat Şafak,suat.safak3@hotnail.com,+90 542 351 16 15,2024-01-08,29/06/2025,"Türkiye, Denizli, Pamukkale",₺274,TRY,56,Groceries,Budget
388,Öğr. Deryanur Ergül Akdeniz,ogr.deryanur.ergul.akdeniz388@gmial.com,0568 663 26 63,2024-06-22,07-24-2025,İlkadım - Samsun - Türkiye,$139.53,USD, 23 ,Sports & Outdoors,Regular
461,Galip Akdeniz,galip.akdeniz461@hotnail.com,0570 171 57 72,2024-05-13,2025-11-26,"Türkiye, Eskişehir","357,62",, 67 ,Clothing,Budget
201,Şöhret Sezgin, sohret.sezgin201@example.com ,0571 240 65 96,07/02/2024,02-03-2026,Şehzadeler - Manisa,₺244,TRY, 46 ,Sports & Outdoors,Budget
60,Çev. Tüzeer Nurullah Bilir,cev.tuzeer.nurullah.bilir60@yaho.com,+90 599 938 67 74,25/08/2022,05/02/2025,Bursa - Türkiye,$234.05,USD,45,Beauty & Personal Care,Budget
66,Altınkaya Koşukhan Gül Şama,altinkaya.kosukhan.gul.sama66@hotnail.com,+905878296717,12-31-2023,17/10/2025,Çukurova - Adana - Türkiye,246 TL,TRY,44,Clothing,Budget
217,Doç. Zümre Münezzer Ergül, doc.zumre.munezzer.ergul217@example.com ,+90 521 903 40 43,07/12/2022,03-20-2025,Kayapınar - Diyarbakır - Türkiye,$168.52,USD,36,Sports & Outdoors,Budget
472,Uz. Gülnaziye Şehza Yaman, uz.gulnaziye.sehza.yaman472@example.com ,+90  532   690 97  38 ,2024-06-09,"July 03, 2025",Trabzon,₺293,TRY, 44 ,Beauty & Personal Care,New
187,Dr. Dilşat Durdu Akça,dr.dilsat.durdu.akca187@example.com,0580 100 62 31,2021-12-25,05/06/2025,Adana,"154,70",,27,Beauty & Personal Care,Budget
374,Servinaz Tülin Tevetoğlu,servinaz.tulin.tevetoglu374@example.com,+90 552 763 65 56,2024-05-19,2026-02-10,"Türkiye, Manisa, Şehzadeler",$201.34,USD,46,Beauty & Personal Care,Budget
175,Koldan Zengin,koldan.zengin175@gmial.com,0547 868 63 37,04/01/2024,19/12/2025,"Türkiye, İstanbul, Kadıköy","132,40",,27,Electronics,Budget
178,Nurmelek Hayrioğlu, nurmelek.hayrioglu178@example.com ,+908995342836,2024-04-06,04-10-2025,"Türkiye, Van, İpekyolu","198,01",,35,Toys & Games,Budget
38,Us Sadittin İnönü Aslan, us.sadittin.inonu.aslan38@example.com ,+905709367632,2022-04-09,09-04-2025,Eyyübiye - Şanlıurfa - Türkiye,₺307,TRY,62,Clothing,Budget
17,Prof. Ferzi Asım Akdeniz,prof.ferzi.asim.akdeniz17@example.com,+90500651333,"December 10, 2022",2025-05-08,Pamukkale - Denizli - Türkiye,$190.23,USD, 46 ,Books,Budget
153,Mücellib Bektaşi Sezgin Ertaş, mucellib.bektasi.sezgin.ertas153@example.com ,0588 879 47 05,2024-02-03,"May 01, 2025","Türkiye, Van, İpekyolu",335 TL,TRY,61,Sports & Outdoors,Budget
115,Prof. Huban Kerime Aksu,prof.huban.kerime.aksu115@yaho.com,0549 251 92 54,09/04/2022,"August 23, 2025","Türkiye, Trabzon, Ortahisar",₺355,TRY,62,Clothing,Regular
10,Ferahdiba Bilir,ferahdiba.bilir10@gmial.com,+90581845146,23/01/2025,2026-04-19,Yeşilyurt - Malatya - Türkiye,$235.17,USD,47,Books,Budget
309,Sevim Eraslan, sevim.eraslan309@example.com ,+90588916375,2022-03-24,08/08/2025,Beşiktaş - İstanbul - Türkiye,"363,74",,61,Toys & Games,Regular
265,Öğr. Ayşenur Gülenay Fırat Arsoy,ogr.aysenur.gulenay.firat.arsoy265@yaho.com,+905410060626,2023-03-09,04/07/2025,"Türkiye, İzmir",428 TL,TRY,74,Clothing,Regular
60,Çev. Tüzeer Nurullah Bilir,cev.tuzeer.nurullah.bilir60@hotnail.com,+90599938774,2022-08-25,2026-06-22,Bursa,200 TL,TRY,forty-five,Books,Budget
428,Yrd. Doç. Birgit İnönü, yrd.doc.birgit.inonu428@example.com ,+905474236220,2021-09-03,10-07-2025,Pamukkale - Denizli - Türkiye,$342.34,USD, 57 ,Groceries,Regular
314,Gülmisal Nurveren Akdeniz, gulmisal.nurveren.akdeniz314@example.com ,0557 113 05 54,"November 17, 2022",2025-01-18,"Türkiye, Manisa, Şehzadeler",$300.44,USD,51,Books,Regular
37,Uraltay Gül,uraltay.gul37@gmial.com,+90  548   951 34  33 ,2025-02-14,2025-05-28,Seyhan - Adana - Türkiye,$88.88,USD,,Home & Garden,Budget
409,Giz Akça, giz.akca409@example.com ,0543 350 48 88,2022-10-01,"June 05, 2025","Türkiye, Kayseri, Melikgazi","298,45",,,Clothing,Budget
24,Dr. Günkurt Şanlı Öcalan, dr.gunkurt.sanli.ocalan24@example.com ,+90 518 384 25 13,11-17-2023,28/04/2026,Manisa - Türkiye,162 TL,TRY,36,Clothing,Budget
390,Av. Övün Şilan Tarhan, av.ovun.silan.tarhan390@example.com ,+905973572080,"November 27, 2024","August 25, 2025","Türkiye, Diyarbakır, Kayapınar",₺104,TRY,24,Electronics,Budget
397,Aydinç Korutürk,aydinc.koruturk397@example.com,+905528127348,05-02-2022,"August 01, 2025","Türkiye, Ankara, Çankaya",₺321,TRY,66,Home & Garden,Budget
445,Bay Erdogan Demirel, bay.erdogan.demirel445@example.com ,+90 529 978 77 29,2024-08-23,2025-02-16,Şehzadeler - Manisa - Türkiye,337 TL,TRY,63,Electronics,Budget
302,Mishat Buyrukhan Sezer Hançer,mishat.buyrukhan.sezer.hancer302@hotnail.com,0517 393 48 35,2022-01-02,31/03/2025,"Türkiye, Kayseri, Melikgazi","247,26",,44,Home & Garden,Budget
156,Doç. Nerim Dumanlı,doc.nerim.dumanli156@example.com,0589 702 83 85,"March 27, 2022","May 02, 2026",Meram - Konya - Türkiye,₺291,TRY, 48 ,Sports & Outdoors,Regular
60,Çev. Tüzeer Nurullah Bilir,cev.tuzeer.nurullah.bilir60@yaho.com,+90  599   938 67  74 ,25/08/2022,09/06/2025,Osmangazi - Bursa - Türkiye,"206,10",,45,Electronics,Budget
30,Erdibay Korutürk,erdibay.koruturk30@gmial.com,+90534216033,05-15-2023,2025-02-02,"Eskişehir, Tepebaşı",$191.08,USD,40,Toys & Games,Budget
151,Özakan Mazlum Bilgin Akçay,ozakan.mazlum.bilgin.akcay151@yaho.com,0523 986 80 00,2025-03-07,"November 13, 2025",Tepebaşı - Eskişehir - Türkiye,₺344,TRY,63,Home & Garden,Budget
78,Sezal Zahid Duran,sezal.zahid.duran78@example.com,+90592219693,27/02/2023,2025-03-04,"Malatya, Yeşilyurt",$282.59,USD,55,Electronics,Budget
148,Taçnur Gülen Yüksel,tacnur.gulen.yuksel148@gmial.com,+90 533 950 04 79,2022-04-13,04-16-2026,"Türkiye, Trabzon, Ortahisar","380,39",,61,Sports & Outdoors,Regular
102,Av. Kısmet Aynımah Yılmaz,av.kismet.aynimah.yilmaz102@gmial.com,+90 502 290 14 76,03-24-2023,2026-01-25,Van - Türkiye,347 TL,TRY,56,Beauty & Personal Care,Regular
414,Arş. Gör. Sebattin İvecen Ülker, ars.gor.sebattin.ivecen.ulker414@example.com ,0599 813 64 62,2025-03-17,06-29-2025,"Türkiye, Trabzon, Ortahisar",235 TL,TRY,,Beauty & Personal Care,Budget
491,Dr. Dilcan Ticen Tevetoğlu Duran,dr.dilcan.ticen.tevetoglu.duran491@example.com,0546 015 85 17,2021-09-07,2025-10-29,Atakum - Samsun - Türkiye,$306.63,USD,67,Clothing,Budget
238,Teber Bilir, teber.bilir238@example.com ,+90 525 241 05 64,"January 05, 2023",2025-10-31,"Türkiye, Malatya, Yeşilyurt",$145.18,USD,22,Sports & Outdoors,Budget
187,Dr. Dilşat Durdu Akça,dr.dilsat.durdu.akca187@example.com,+90 580 100 62 31,25/12/2021,2025-10-12,"Türkiye, Adana, Seyhan",₺155,TRY, 27 ,Toys & Games,Budget
453,Hiçsönmez Hançer,hicsonmez.hancer453@yaho.com,+90357845218,02-26-2022,2025-12-10,"Türkiye, Şanlıurfa, Eyyübiye",₺125,TRY,,Electronics,Budget
321,Gürcüye Gülev Mansız Eraslan, gurcuye.gulev.mansiz.eraslan321@example.com ,+90 562 003 42 44,16/02/2025,01/05/2026,"Türkiye, Bursa","386,69",,71,Clothing,Budget
500,Hüsmen Çetin,husmen.cetin500@outlok.com,0594 672 32 48,04/06/2023,2026-05-16,Karşıyaka - İzmir - Türkiye,$210.23,USD,44,Clothing,Budget
476,Fenni Atatöre İnönü Aksu,fenni.atatore.inonu.aksu476@example.com,+90 594 079 29 04,10-24-2021,2026-03-30,"Türkiye, Manisa, Şehzadeler",₺308,TRY,57,Groceries,Budget
407,Arş. Gör. Meveddet Türk Bilgin,ars.gor.meveddet.turk.bilgin407@example.com,+905528556659,"August 07, 2024",07-20-2025,Çukurova - Adana - Türkiye,$324.45,USD,,Books,Regular
187,Dr. Dilşat Durdu Akça,dr.dilsat.durdu.akca187@hotnail.com,+905801046231,2021-12-25,2026-04-22,"Türkiye, Adana, Seyhan",₺131,TRY,27,Home & Garden,Budget
446,Öğr. Yazgül Yasemen Mansız Aksu,ogr.yazgul.yasemen.mansiz.aksu446@example.com,+90 510 713 96 60,01-29-2024,2025-02-26,"Türkiye, Konya, Selçuklu","252,69",, 40 ,Toys & Games,Regular
304,Filit Idık Arsoy,filit.idik.arsoy304@yaho.com,+90  511   437 44  70 ,2025-05-22,17/09/2025,"Türkiye, İzmir, Karşıyaka",$367.19,USD,70,Beauty & Personal Care,Budget
82,Dr. Sökmen Erdoğan, dr.sokmen.erdogan82@example.com ,+90210470952,06-11-2025,"June 21, 2025","Türkiye, Konya, Meram",$149.99,USD,36,Home & Garden,Budget
491,Dr. Dilcan Ticen Tevetoğlu Duran,dr.dilcan.ticen.tevetoglu.duran491@example.com,+907460158517,09-07-2021,19/01/2026,"Türkiye, Samsun, Atakum",₺385,TRY,67,Beauty & Personal Care,Budget
383,Elvan Çisem Yorulmaz Zengin,elvan.cisem.yorulmaz.zengin383@example.com,0549 216 43 34,2023-06-19,2026-06-02,"Türkiye, İzmir","295,45",,58,Electronics,Budget
120,Belgizar Öcalan,belgizar.ocalan120@outlok.com,+90 574 688 62 39,2025-03-04,2026-02-25,Atakum - Samsun - Türkiye,$426.43,USD,73,Sports & Outdoors,Budget
87,Emal Ülker Şensoy, emal.ulker.sensoy87@example.com ,0567 586 92 61,03-16-2023,08-08-2025,Yakutiye - Erzurum - Türkiye,334 TL,TRY,57,Beauty & Personal Care,Regular
258,Dr. Sirap Ergül Seven,dr.sirap.ergul.seven258@example.com,+90 596 522 39 55,2022-08-19,2025-01-07,Ankara - Türkiye,"296,52",,19,Sports & Outdoors,Premium
179,Muvaffak Hayrioğlu, muvaffak.hayrioglu179@example.com ,0568 705 68 56,2023-08-29,05-11-2025,"Türkiye, Van",$132.39,USD,27,Electronics,Budget
380,Nurdeniz Manço,nurdeniz.manco380@example.com,+90  512   535 54  49 ,02/05/2022,08-30-2025,Ortahisar - Trabzon - Türkiye,₺205,TRY,43,Sports & Outdoors,Budget
393,Mevlüdiye Çamurcuoğlu,mevludiye.camurcuoglu393@example.com,+90 501 367 30 37,2021-10-29,2025-06-29,Toroslar - Mersin - Türkiye,"342,90",,67,Sports & Outdoors,Budget
227,Dr. Akyıldız Durdu Arslan,dr.akyildiz.durdu.arslan227@outlok.com,+90543611037,03-16-2025,14/08/2025,"Türkiye, Ankara, Keçiören","279,00",,55,Clothing,Budget
114,Bayan Gül Müsemma Çetin,bayan.gul.musemma.cetin114@gmial.com,+905554665505,07-31-2025,2026-02-12,Malatya - Türkiye,$234.49,USD,39,Books,Budget
373,Nurser Tevetoğlu, nurser.tevetoglu373@example.com ,0591 559 42 84,2024-08-14,2025-08-12,Meram - Konya,"211,94",,35,Groceries,Regular
247,Arpağ Yorulmaz,arpag.yorulmaz247@hotnail.com,+90  544   565 57  43 ,07-13-2025,2026-04-24,Muratpaşa - Antalya - Türkiye,₺143,TRY, 30 ,Sports & Outdoors,Budget
27,Dirlik Çamurcuoğlu, dirlik.camurcuoglu27@example.com ,0505 242 78 68,2025-11-23,11/05/2026,"Türkiye, Mersin",₺111,TRY,25,Beauty & Personal Care,Budget
284,Sevdinar İhsanoğlu Hayrioğlu, sevdinar.ihsanoglu.hayrioglu284@example.com ,+905406829333,24/02/2022,20/05/2026,Yenişehir - Mersin - Türkiye,$149.30,USD,31,Electronics,Budget
298,Av. Zevlüde Türk Mansız, av.zevlude.turk.mansiz298@example.com ,0575 326 03 32,06/10/2024,2025-07-25,"Türkiye, Antalya, Kepez","341,16",,64,Home & Garden,Budget
123,Barışcan Akgündüz,bariscan.akgunduz123@example.com,+905172204727,2023-06-08,2025-07-14,Üsküdar - İstanbul - Türkiye,"299,88",,57,Sports & Outdoors,Budget
169,Meleknur Orçin Akdeniz Akçay, meleknur.orcin.akdeniz.akcay169@example.com ,0587 833 91 87,27/12/2022,21/06/2025,"Türkiye, Samsun, Atakum",381 TL,TRY,63,Sports & Outdoors,Regular
384,Dürrüşehvar Seven,durrusehvar.seven384@example.com,+905002577848,15/06/2023,2026-04-24,"Türkiye, Malatya",₺162,TRY,26,Groceries,New
209,Narhanim Aslan, narhanim.aslan209@example.com ,+905551775140,18/12/2021,05-18-2025,Meram - Konya - Türkiye,₺113,TRY, 25 ,Sports & Outdoors,Budget
443,Ürfettin Şabettin Şama Demirel,urfettin.sabettin.sama.demirel443@example.com,+90 547 214 58 68,10-09-2024,03/07/2025,Yakutiye - Erzurum - Türkiye,₺310,TRY,62,Groceries,Budget
26,Rabbiye Aslan,rabbiye.aslan26@example.com,+90  593   534 87  40 ,06-06-2025,2025-06-21,"Türkiye, Mersin, Toroslar",$391.69,USD,58,Clothing,Regular
268,Ferihan Dumanlı, ferihan.dumanli268@example.com ,0529 620 15 33,27/08/2023,06/04/2026,"Türkiye, İstanbul, Şişli",385 TL,TRY, 62 ,Home & Garden,Regular
84,Tayaydın Atalay Seven,tayaydin.atalay.seven84@yaho.com,0571 236 85 16,11-14-2025,11/01/2026,"Türkiye, Eskişehir, Odunpazarı","237,91",,34,Electronics,Regular
66,Altınkaya Koşukhan Gül Şama, altinkaya.kosukhan.gul.sama66@example.com ,+90  587   429 67  17 ,2023-12-31,21/02/2025,Çukurova - Adana - Türkiye,₺245,TRY, 44 ,Beauty & Personal Care,Budget
405,Günebakan İnönü,gunebakan.inonu405@hotnail.com,+905387138633,12-31-2022,2025-02-25,"Türkiye, Kayseri","303,53",,60,Books,Budget
439,Seyhan Zengin Durmuş, seyhan.zengin.durmus439@example.com ,+90 578 097 33 97,2023-05-28,2025-02-18,"Türkiye, Diyarbakır",288 TL,TRY,44,Groceries,Regular
118,Haliye Habibe Yıldırım, haliye.habibe.yildirim118@example.com ,+90 559 296 22 29,07/01/2025,30/11/2025,Malatya - Türkiye,$354.51,USD,64,Books,Regular
363,Çev. Alkor Yaman,cev.alkor.yaman363@example.com,+905053021469,2022-03-12,2025-12-14,Şehzadeler - Manisa - Türkiye,"288,17",,43,Beauty & Personal Care,Regular
321,Gürcüye Gülev Mansız Eraslan,gurcuye.gulev.mansiz.eraslan321@gmial.com,0562 003 42 44,02-16-2025,2025-11-02,Nilüfer - Bursa - Türkiye,383 TL,TRY,71,Home & Garden,Budget
112,Yrd. Doç. Fehmiye Havali Bilge,yrd.doc.fehmiye.havali.bilge112@outlok.com,+90  598   679 80  79 ,18/04/2022,"January 23, 2025","Türkiye, İzmir","183,31",,30,Toys & Games,Budget
9,Doç. Maksur Şama,doc.maksur.sama9@gmial.com,+905108226916,"October 23, 2023",06/06/2025,"Türkiye, Antalya",$357.73,USD,56,Toys & Games,New
23,Öğr. Kasim Aslan,ogr.kasim.aslan23@outlok.com,+905343462475,"September 25, 2021",10/01/2025,"Türkiye, Eskişehir, Tepebaşı",142 TL,TRY, 22 ,Clothing,Budget
332,Berran İnönü, berran.inonu332@example.com ,+905029819346,2023-10-10,2026-04-16,Konak - İzmir - Türkiye,"288,04",, 46 ,Toys & Games,Regular
34,Tekbay Aksu,tekbay.aksu34@yaho.com,+90556159514,03-19-2024,2026-03-25,Yakutiye - Erzurum - Türkiye,$365.63,USD,60,Toys & Games,Regular
186,Enes Yaman,enes.yaman186@example.com,0585 477 72 52,"March 01, 2025",2026-01-12,"Türkiye, Gaziantep, Şehitkamil",₺395,TRY,64,Groceries,Regular
39,Dilfeza Arslan,dilfeza.arslan39@yaho.com,+90 532 870 83 17,2025-03-14,2026-06-20,"Türkiye, Bursa, Osmangazi",₺406,TRY, 69 ,Electronics,Regular
223,Okt. Cebesoy Gökay Yılmaz, okt.cebesoy.gokay.yilmaz223@example.com ,+90  516   845 77  59 ,12-07-2025,04-17-2026,Karşıyaka - İzmir - Türkiye,₺595,TRY,73,Sports & Outdoors,Premium
240,Uz. Savni Arıel Aksu, uz.savni.ariel.aksu240@example.com ,+90538000307,2023-10-20,2026-06-16,İpekyolu - Van,₺150,TRY,27,Clothing,Budget
242,Çev. Atiyye Bilgin Arslan,cev.atiyye.bilgin.arslan242@example.com,+905380677445,06-19-2025,03-14-2026,Ankara,₺322,TRY,53,Beauty & Personal Care,Regular
254,Çoğay Tarhan,cogay.tarhan254@example.com,+90 572 099 93 47,2023-08-22,2026-02-20,Toroslar - Mersin - Türkiye,393 TL,TRY,74,Electronics,Regular
4,Akdora Aygutalp Bilir,akdora.aygutalp.bilir4@example.com,+90 578 161 84 95,2022-09-17,"February 20, 2025",Yenimahalle - Ankara - Türkiye,374 TL,TRY,30,Electronics,Premium
375,Dr. Dilşat Âlemşah Gül,dr.dilsat.lemsah.gul375@hotnail.com,0514 386 63 22,2023-04-19,2025-10-03,"Türkiye, Antalya, Muratpaşa",362 TL,TRY, 69 ,Sports & Outdoors,Budget
120,Belgizar Öcalan, belgizar.ocalan120@example.com ,+90 574 688 62 39,2025-03-04,"November 29, 2025","Türkiye, Samsun, Atakum","378,27",,73,Books,Budget
142,Büşranur Alemdar,busranur.alemdar142@outlok.com,+90524981829,01-31-2025,02-15-2026,Meram - Konya - Türkiye,$209.20,USD,28,Groceries,Regular
145,Ercihan Nerim Mansız,ercihan.nerim.mansiz145@hotnail.com,+90  592   555 62  58 ,10-19-2022,09-17-2025,"Türkiye, Konya, Meram",149 TL,TRY,24,Groceries,Budget
291,Cemiyle Bilge,cemiyle.bilge291@example.com,+90551534655,2024-06-27,22/06/2025,Yakutiye - Erzurum - Türkiye,"277,37",,55,Sports & Outdoors,Budget
440,Muktedir Ünübol Durdu, muktedir.unubol.durdu440@example.com ,+90  538   498 30  22 ,08-22-2025,"October 12, 2025",Şehzadeler - Manisa - Türkiye,$311.02,USD,59,Home & Garden,Budget
38,Us Sadittin İnönü Aslan,us.sadittin.inonu.aslan38@hotnail.com,+905769363632,2022-04-09,"May 29, 2026","Türkiye, Şanlıurfa, Eyyübiye",$326.69,USD,62,Clothing,Budget
