row_index,customer_id,name_true,email_true,phone_true_e164,signup_date_true,order_date_true,city_true,district_true,country_true,order_amount_true,customer_age_true
61,477,Serda Akçay,serda.akcay477@example.com,+905526771196,2021-11-15,2025-08-04,Antalya,Muratpaşa,Türkiye,149.52,35
62,304,Filit Idık Arsoy,filit.idik.arsoy304@example.com,+905486401557,2023-03-23,2025-05-29,Eskişehir,Tepebaşı,Türkiye,309.41,50
63,282,Av. Faize Dumanlı Duran,av.faize.dumanli.duran282@example.com,+905372395041,2025-08-27,2026-06-08,Denizli,Pamukkale,Türkiye,198.47,28
64,407,Arş. Gör. Meveddet Türk Bilgin,ars.gor.meveddet.turk.bilgin407@example.com,+905599996636,2025-08-04,2026-04-01,Antalya,Muratpaşa,Türkiye,320.78,52
65,320,Hanbiken Şemsinisa Sezgin,hanbiken.semsinisa.sezgin320@example.com,+905545279852,2021-12-20,2025-05-27,İstanbul,Şişli,Türkiye,156.45,37
66,366,Arş. Gör. Güverçin Şirivan Türk Gül,ars.gor.guvercin.sirivan.turk.gul366@example.com,+905433800545,2022-02-25,2025-01-07,Samsun,Atakum,Türkiye,130.99,28
67,414,Arş. Gör. Sebattin İvecen Ülker,ars.gor.sebattin.ivecen.ulker414@example.com,+905418621042,2023-06-24,2025-11-18,Gaziantep,Şehitkamil,Türkiye,210.91,40
68,414,Arş. Gör. Sebattin İvecen Ülker,ars.gor.sebattin.ivecen.ulker414@example.com,+905418621042,2023-06-24,2025-03-17,Gaziantep,Şehitkamil,Türkiye,213.35,40
69,208,Hürdoğan Sezgin,hurdogan.sezgin208@example.com,+905432225913,2023-08-16,2026-04-07,Şanlıurfa,Eyyübiye,Türkiye,368.4,69
70,167,Çoğay Durdu,cogay.durdu167@example.com,+905357972798,2023-12-27,2026-05-20,Bursa,Nilüfer,Türkiye,199.85,40
71,399,Okt. Ferhan Nirgül Hançer Gül,okt.ferhan.nirgul.hancer.gul399@example.com,+905583230241,2025-10-31,2025-12-04,Mersin,Yenişehir,Türkiye,423.59,71
72,443,Ürfettin Şabettin Şama Demirel,urfettin.sabettin.sama.demirel443@example.com,+905125904729,2025-03-06,2025-05-24,Şanlıurfa,Eyyübiye,Türkiye,283.04,46
73,422,Kopan Bilge,kopan.bilge422@example.com,+905023212983,2024-08-16,2026-04-12,Gaziantep,Şehitkamil,Türkiye,232.34,50
74,311,Zöhrehan Ferhan Erdoğan,zohrehan.ferhan.erdogan311@example.com,+905562656504,2024-01-06,2026-03-07,Diyarbakır,Kayapınar,Türkiye,187.03,40
75,138,Melihcan Çetin,melihcan.cetin138@example.com,+905414183285,2023-10-04,2025-02-03,Erzurum,Yakutiye,Türkiye,304.74,55
76,360,Gökperi Demir,gokperi.demir360@example.com,+905168006102,2022-04-09,2025-04-22,Manisa,Şehzadeler,Türkiye,290.07,48
77,137,Göken Arslan,goken.arslan137@example.com,+905430068486,2023-07-29,2026-05-09,İzmir,Konak,Türkiye,386.51,62
78,188,Nafii Sezer,nafii.sezer188@example.com,+905102726149,2024-11-06,2025-01-16,Diyarbakır,Kayapınar,Türkiye,140.36,30
79,121,Necva Şensoy,necva.sensoy121@example.com,+905564651939,2022-11-21,2025-10-02,Şanlıurfa,Eyyübiye,Türkiye,188.59,29
80,79,Çakırca Gücal Yorulmaz,cakirca.gucal.yorulmaz79@example.com,+905473947312,2025-07-14,2026-06-30,Bursa,Osmangazi,Türkiye,254.82,46
81,192,Permun Akça Demirel,permun.akca.demirel192@example.com,+905359893347,2024-12-14,2025-10-14,Konya,Meram,Türkiye,325.29,61
82,200,Sevim Fayize Şafak Akçay,sevim.fayize.safak.akcay200@example.com,+905129087814,2022-03-08,2025-12-06,Samsun,İlkadım,Türkiye,118.47,22
83,26,Rabbiye Aslan,rabbiye.aslan26@example.com,+905016328708,2024-07-20,2025-04-18,Şanlıurfa,Eyyübiye,Türkiye,383.22,72
84,143,Dr. Gönen Ebuakil Sezgin,dr.gonen.ebuakil.sezgin143@example.com,+905061744518,2023-05-22,2026-03-18,Eskişehir,Tepebaşı,Türkiye,114.07,18
85,350,Av. Işıman Ayvas Tarhan,av.isiman.ayvas.tarhan350@example.com,+905572158624,2025-04-17,2025-10-01,Trabzon,Ortahisar,Türkiye,179.75,38
86,17,Prof. Ferzi Asım Akdeniz,prof.ferzi.asim.akdeniz17@example.com,+905411824493,2021-12-04,2025-06-30,Bursa,Nilüfer,Türkiye,190.96,39
87,79,Çakırca Gücal Yorulmaz,cakirca.gucal.yorulmaz79@example.com,+905473947312,2025-07-14,2026-01-21,Bursa,Osmangazi,Türkiye,256.88,46
88,417,Gözel Durdu,gozel.durdu417@example.com,+905552065063,2023-05-18,2025-03-27,Eskişehir,Odunpazarı,Türkiye,166.86,32
89,394,Necva Yılmaz,necva.yilmaz394@example.com,+905095431735,2025-08-23,2025-12-31,Şanlıurfa,Eyyübiye,Türkiye,359.19,70
90,397,Aydinç Korutürk,aydinc.koruturk397@example.com,+905388065333,2025-07-25,2026-01-30,Manisa,Şehzadeler,Türkiye,219.92,39
91,361,Behrem Yılmaz,behrem.yilmaz361@example.com,+905499564122,2025-11-14,2025-12-10,Trabzon,Ortahisar,Türkiye,164.54,30
92,98,Yaşattin Şama,yasattin.sama98@example.com,+905004786863,2024-07-24,2026-05-09,Denizli,Pamukkale,Türkiye,268.98,47
93,2,Uz. Zamir Açıkel Tarhan,uz.zamir.acikel.tarhan2@example.com,+905161849593,2021-12-31,2026-01-11,Gaziantep,Şahinbey,Türkiye,117.57,22
94,387,Bişar Ülker,bisar.ulker387@example.com,+905743553795,2025-11-10,2025-12-02,Bursa,Nilüfer,Türkiye,316.09,62
95,158,Yahşi Soylu,yahsi.soylu158@example.com,+905015336884,2022-03-31,2026-01-29,İzmir,Bornova,Türkiye,196.27,36
96,494,Tanyolaç Ergül,tanyolac.ergul494@example.com,+905420165423,2023-12-28,2025-01-29,Malatya,Yeşilyurt,Türkiye,266.53,44
97,178,Nurmelek Hayrioğlu,nurmelek.hayrioglu178@example.com,+905326033230,2022-08-23,2025-08-03,Şanlıurfa,Eyyübiye,Türkiye,273.54,50
98,241,Kösemen Dumanlı,kosemen.dumanli241@example.com,+905522459334,2024-04-06,2026-03-12,Ankara,Keçiören,Türkiye,148.71,23
99,419,Kutay Afer Hayrioğlu Aksu,kutay.afer.hayrioglu.aksu419@example.com,+905625257150,2022-07-15,2025-12-13,Bursa,Osmangazi,Türkiye,347.03,55
100,463,Tuğtaş Halidun Akgündüz,tugtas.halidun.akgunduz463@example.com,+905534749162,2024-07-14,2026-06-23,Ankara,Yenimahalle,Türkiye,295.04,49
101,440,Muktedir Ünübol Durdu,muktedir.unubol.durdu440@example.com,+905409836655,2022-02-20,2026-05-18,Trabzon,Ortahisar,Türkiye,389.28,68
102,257,Çev. Gülbani İlper Şafak Şener,cev.gulbani.ilper.safak.sener257@example.com,+905472649082,2023-05-08,2025-01-26,Ankara,Yenimahalle,Türkiye,406.1,71
103,107,Sancak Türk,sancak.turk107@example.com,+905048996423,2024-02-06,2025-10-02,Gaziantep,Şahinbey,Türkiye,237.27,32
104,135,Gökperi Mansız Durdu,gokperi.mansiz.durdu135@example.com,+905404389836,2024-04-16,2026-02-17,Gaziantep,Şehitkamil,Türkiye,311.99,59
105,252,Doç. Musaffa Şehreban Eraslan,doc.musaffa.sehreban.eraslan252@example.com,+905482629251,2022-10-28,2026-05-25,Konya,Selçuklu,Türkiye,308.84,52
106,374,Servinaz Tülin Tevetoğlu,servinaz.tulin.tevetoglu374@example.com,+905341085628,2022-12-01,2025-02-19,Samsun,Atakum,Türkiye,196.16,36
107,320,Hanbiken Şemsinisa Sezgin,hanbiken.semsinisa.sezgin320@example.com,+905545279852,2021-12-20,2025-05-19,İstanbul,Şişli,Türkiye,215.08,37
108,25,Eflâtun İlgi Türk,efltun.ilgi.turk25@example.com,+905489513433,2025-02-14,2026-04-29,Adana,Seyhan,Türkiye,66.18,19
109,306,Uz. Cannur Çorlu,uz.cannur.corlu306@example.com,+905569557988,2023-06-15,2026-02-23,Şanlıurfa,Eyyübiye,Türkiye,252.14,47
110,189,Nili Aksu,nili.aksu189@example.com,+905465472269,2022-01-09,2026-02-02,Trabzon,Ortahisar,Türkiye,552.94,74
111,467,Okt. Havse Selvi Mansız,okt.havse.selvi.mansiz467@example.com,+905409036788,2025-07-12,2026-04-30,Denizli,Pamukkale,Türkiye,184.25,28
112,464,Sücaettin Kısakürek,sucaettin.kisakurek464@example.com,+905108255598,2022-07-23,2025-10-18,Kayseri,Melikgazi,Türkiye,181.16,41
113,79,Çakırca Gücal Yorulmaz,cakirca.gucal.yorulmaz79@example.com,+905473947312,2025-07-14,2025-09-27,Bursa,Osmangazi,Türkiye,238.64,46
114,435,Türknur Beray Hançer Ertaş,turknur.beray.hancer.ertas435@example.com,+905305050573,2022-07-19,2025-08-23,Malatya,Yeşilyurt,Türkiye,283.75,49
115,266,Dr. Selime İnönü Yorulmaz,dr.selime.inonu.yorulmaz266@example.com,+905823578452,2021-08-20,2026-02-09,Adana,Çukurova,Türkiye,373.06,73
116,67,Erdursun Dalkılıç Akar Duran,erdursun.dalkilic.akar.duran67@example.com,+905079359782,2025-08-08,2025-12-16,Eskişehir,Odunpazarı,Türkiye,247.15,46
117,62,Öğr. Sonnur Sezgin Seven,ogr.sonnur.sezgin.seven62@example.com,+905599102290,2022-03-03,2025-02-12,İstanbul,Kadıköy,Türkiye,102.4,23
118,32,Nevsale Bilgin Yaman,nevsale.bilgin.yaman32@example.com,+905067165726,2024-12-17,2025-02-11,Kayseri,Kocasinan,Türkiye,401.36,64
119,60,Çev. Tüzeer Nurullah Bilir,cev.tuzeer.nurullah.bilir60@example.com,+905560494519,2023-02-07,2025-11-21,Manisa,Şehzadeler,Türkiye,129.03,31
120,26,Rabbiye Aslan,rabbiye.aslan26@example.com,+905016328708,2024-07-20,2025-05-09,Şanlıurfa,Eyyübiye,Türkiye,392.79,72
121,97,Lezize Tevetoğlu,lezize.tevetoglu97@example.com,+905391065180,2025-07-24,2026-03-08,Erzurum,Yakutiye,Türkiye,232.53,48
122,278,Arifcan Aslan,arifcan.aslan278@example.com,+905371894905,2022-12-13,2025-06-12,Manisa,Şehzadeler,Türkiye,391.86,67
123,286,Hasgül Akdeniz Öcalan,hasgul.akdeniz.ocalan286@example.com,+905124471746,2022-01-25,2025-08-23,Trabzon,Ortahisar,Türkiye,477.67,75
124,381,Dr. Buşra Karadeniz Çorlu,dr.busra.karadeniz.corlu381@example.com,+905120948181,2024-11-13,2025-04-18,Diyarbakır,Kayapınar,Türkiye,347.9,57
125,35,Yrd. Doç. Banü Nurşan Kısakürek,yrd.doc.banu.nursan.kisakurek35@example.com,+905574443135,2025-04-12,2025-09-19,Gaziantep,Şehitkamil,Türkiye,357.22,65
126,349,Günsel Selvi Dumanlı Akça,gunsel.selvi.dumanli.akca349@example.com,+905537599004,2023-02-13,2026-01-10,Trabzon,Ortahisar,Türkiye,337.73,57
127,319,Tali Âdem Soylu,tali.dem.soylu319@example.com,+905389888167,2025-07-09,2025-12-25,Samsun,İlkadım,Türkiye,305.39,25
128,135,Gökperi Mansız Durdu,gokperi.mansiz.durdu135@example.com,+905404389836,2024-04-16,2025-11-05,Gaziantep,Şehitkamil,Türkiye,290.12,59
129,222,Cemiyle Gülgüzel Arslan,cemiyle.gulguzel.arslan222@example.com,+905347955276,2024-10-07,2025-09-14,Konya,Meram,Türkiye,392.27,44
130,224,Eskinalp Türk,eskinalp.turk224@example.com,+905061203471,2023-06-05,2026-03-06,Erzurum,Yakutiye,Türkiye,353.17,65
131,201,Şöhret Sezgin,sohret.sezgin201@example.com,+905552314913,2024-03-02,2025-09-20,Konya,Meram,Türkiye,333.1,49
132,37,Uraltay Gül,uraltay.gul37@example.com,+905824008427,2025-05-16,2026-05-08,Kayseri,Melikgazi,Türkiye,422.96,73
133,212,Öğr. Çilga Hazine Sezer,ogr.cilga.hazine.sezer212@example.com,+905314986430,2021-12-21,2025-10-28,Manisa,Şehzadeler,Türkiye,573.2,65
134,204,Av. Atnan Eşref Akgündüz,av.atnan.esref.akgunduz204@example.com,+905488725639,2021-11-02,2025-03-18,Ankara,Yenimahalle,Türkiye,323.36,72
135,303,Alattin Hayrioğlu,alattin.hayrioglu303@example.com,+905325381793,2021-09-22,2025-10-19,Konya,Selçuklu,Türkiye,540.42,65
136,149,Turabi Sezer,turabi.sezer149@example.com,+905244720999,2024-07-27,2025-06-11,Konya,Meram,Türkiye,318.19,59
137,398,Karataş Seven,karatas.seven398@example.com,+905247395003,2024-11-02,2026-02-18,Şanlıurfa,Eyyübiye,Türkiye,172.42,36
138,448,Şahnuray Yorulmaz,sahnuray.yorulmaz448@example.com,+905446267146,2022-01-20,2026-04-19,İzmir,Karşıyaka,Türkiye,180.76,27
139,483,Eşim Yaman,esim.yaman483@example.com,+905341115950,2024-08-09,2025-03-04,Erzurum,Yakutiye,Türkiye,183.83,36
140,29,Öğr. Sevican Manço Eraslan,ogr.sevican.manco.eraslan29@example.com,+905556464170,2021-09-30,2025-07-25,Konya,Selçuklu,Türkiye,243.91,52
141,17,Prof. Ferzi Asım Akdeniz,prof.ferzi.asim.akdeniz17@example.com,+905411824493,2021-12-04,2026-04-17,Bursa,Nilüfer,Türkiye,225.41,39
142,196,Yıldız Samahat Ülker Arsoy,yildiz.samahat.ulker.arsoy196@example.com,+905581128801,2024-10-07,2026-05-07,Kayseri,Melikgazi,Türkiye,351.85,60
143,79,Çakırca Gücal Yorulmaz,cakirca.gucal.yorulmaz79@example.com,+905473947312,2025-07-14,2026-03-05,Bursa,Osmangazi,Türkiye,238.37,46
144,136,Rayla Zülbiye Karadeniz,rayla.zulbiye.karadeniz136@example.com,+905526965827,2021-08-18,2025-07-21,Gaziantep,Şehitkamil,Türkiye,114.51,22
145,240,Uz. Savni Arıel Aksu,uz.savni.ariel.aksu240@example.com,+905433504888,2022-10-01,2025-12-13,Kayseri,Melikgazi,Türkiye,289.94,54
146,5,Arş. Gör. Sıylıhan Akbaş Durmuş,ars.gor.siylihan.akbas.durmus5@example.com,+905969653287,2025-06-09,2025-12-06,Konya,Meram,Türkiye,359.14,66
147,68,Uz. Sadiye Gülbiye Aslan Ertaş,uz.sadiye.gulbiye.aslan.ertas68@example.com,+905515186449,2025-02-08,2025-11-06,Eskişehir,Odunpazarı,Türkiye,225.2,39
148,492,Temirhan Zorlu,temirhan.zorlu492@example.com,+905096056730,2024-10-05,2025-01-08,Diyarbakır,Kayapınar,Türkiye,365.45,73
149,384,Dürrüşehvar Seven,durrusehvar.seven384@example.com,+905241246209,2024-02-15,2025-06-05,Kayseri,Melikgazi,Türkiye,140.06,29
150,243,Servinaz Belkize Tarhan,servinaz.belkize.tarhan243@example.com,+905583206799,2023-02-13,2026-06-11,Manisa,Şehzadeler,Türkiye,102.22,23
151,17,Prof. Ferzi Asım Akdeniz,prof.ferzi.asim.akdeniz17@example.com,+905411824493,2021-12-04,2026-05-28,Bursa,Nilüfer,Türkiye,232.46,39
152,321,Gürcüye Gülev Mansız Eraslan,gurcuye.gulev.mansiz.eraslan321@example.com,+905011939325,2025-10-14,2026-01-22,Bursa,Nilüfer,Türkiye,61.8,23
153,468,Seniha Hasgül Duran,seniha.hasgul.duran468@example.com,+905434481230,2022-12-16,2025-12-25,Malatya,Yeşilyurt,Türkiye,165.55,33
154,474,Av. Nura Durmuş İhsanoğlu,av.nura.durmus.ihsanoglu474@example.com,+905457230848,2025-04-04,2025-06-16,İstanbul,Kadıköy,Türkiye,285.25,19
155,315,Dr. Havali Kısakürek Durdu,dr.havali.kisakurek.durdu315@example.com,+905462730147,2025-07-29,2026-01-21,Şanlıurfa,Eyyübiye,Türkiye,488.8,56
156,337,İlklima Kısakürek,ilklima.kisakurek337@example.com,+905477866032,2024-06-02,2026-06-09,Kayseri,Kocasinan,Türkiye,119.62,26
157,288,Nüdret Ülker Çetin,nudret.ulker.cetin288@example.com,+905391741011,2022-09-29,2025-12-25,Erzurum,Yakutiye,Türkiye,326.23,64
158,119,Korugan Şama,korugan.sama119@example.com,+905472126464,2023-03-27,2026-06-22,Mersin,Toroslar,Türkiye,401.81,68
159,308,Ekmel Ertaş,ekmel.ertas308@example.com,+905592745238,2021-12-25,2025-05-08,Manisa,Şehzadeler,Türkiye,147.89,20
160,139,Seçgül Dumanlı,secgul.dumanli139@example.com,+905758842524,2021-11-02,2025-03-07,İzmir,Bornova,Türkiye,392.87,74
161,363,Çev. Alkor Yaman,cev.alkor.yaman363@example.com,+905012277707,2022-09-01,2025-07-14,Şanlıurfa,Eyyübiye,Türkiye,167.03,33
162,338,Deryanur Hasgül Güçlü Yıldırım,deryanur.hasgul.guclu.yildirim338@example.com,+905070015941,2023-09-01,2026-06-13,Mersin,Yenişehir,Türkiye,431.49,75
163,179,Muvaffak Hayrioğlu,muvaffak.hayrioglu179@example.com,+905648909010,2025-09-05,2026-05-24,Samsun,İlkadım,Türkiye,321.38,62
164,499,Bayan Nürice Arsoy Eraslan,bayan.nurice.arsoy.eraslan499@example.com,+905053844446,2022-03-05,2025-01-23,Denizli,Pamukkale,Türkiye,163.56,33
165,5,Arş. Gör. Sıylıhan Akbaş Durmuş,ars.gor.siylihan.akbas.durmus5@example.com,+905969653287,2025-06-09,2025-07-31,Konya,Meram,Türkiye,334.85,66
166,280,Fazul Gül,fazul.gul280@example.com,+905471281442,2022-06-30,2025-03-13,Manisa,Şehzadeler,Türkiye,174.96,35
167,387,Bişar Ülker,bisar.ulker387@example.com,+905743553795,2025-11-10,2026-06-29,Bursa,Nilüfer,Türkiye,336.31,62
168,461,Galip Akdeniz,galip.akdeniz461@example.com,+905106684335,2023-07-24,2025-12-13,Manisa,Şehzadeler,Türkiye,207.4,48
